,Date,Location / Operator,Aircraft Type / Registration,Fatalities
9,30 Sep 2017,"Near Kinshasa, CongoAir Force of the Democratic Republic of the Congo",Antonov An-12BEX-001,8/8(0)
10,12 Oct 2017,"Near Cuílo, AngolaGuicango",Embraer EMB-120ERD2-FDO,7/7(0)
11,14 Oct 2017,"Abidjan, Ivory CoastValan International Cargo Charter",Antonov AN-26-100ER-AVB,4/10(0)
12,15 Nov 2017,"Empakaai, TanzaniaCostal Aviation",Cessna 208B Grand Caravan5H-EGG,11/11(0)
13,13 Dec 2017,"Near Fond-du-Lac, SaskatchewanWest Wind Aviation",ATR42-320C-GWEA,1/25(0)
14,31 Dec 2017,"Punta Islita, Costa RicaNaure Air",Cessna 208B Grand CaravanTI-BEI,12/12(0)
0,29 Jan 2018,"Zhengchang, Suiyang County, Guizhou ProvincePeople's Liberation Army Air Force",Shaanxi Y-8GX-330513,12/12(0)
1,10 Feb 2018,"Grand Canyon, ArizonaPapillon",Eurocopter EC 130B4N155GC,3/7(0)
2,11 Feb 2018,"Argunovo, RussiaSaratov Airlines",Antonov AN-148-100RA-61704,71/71(0)
3,18 Feb 2018,"Kohangan village, IranIran Aseman Airlines",ATR 72-212EP-ATS,66/66(0)
4,06 Mar 2018,"Latakia, SyriaMilitary - Russian Air Force",Antonov An-26RF-92955/52,39/39(0)
5,11 Mar 2018,"New York, New YorkLiberty Helicopters",Eurocopter AS 350B2N350LH,5/6(0)
6,12 Mar 2018,"Kathmandu, NepalUS-Bangla Airlines",de Havilland Canada DHC-8-402Q Dash 8S2-AGU,51/71(0)
7,11 Apr 2018,"Boufarik AB, AlgeriaMilitary - Algerian Air Force",Ilyushin 76-TD7T-WIP,257/257(0)
8,17 Apr 2018,"NW of Philadelphia, PennsylvaniaSouthwest Airlines",Boeing 737-7H4N722SW,1/149(0)
9,02 May 2018,"Port Wentworth, GeorgiaMilitary - US Air Force",Lockheed HC-130H Hercules65-0968,9/9(0)
10,18 May 2018,"Havana, CubaCubana (leased from Global Air)",Boeing 737-201XA-UHZ,112/113(0)
11,10 Jul 2018,"Pretoria, South AfricaRovos Air",Convair CV-340ZS-BRV,1/19(1)
12,04 Aug 2018,"Flims, SwitzerlandJu Air",Junkers JU-52HB-HOT,20/20(1)
13,28 Sep 2018,"Chuuk, MicronesiaAir Niugini",Boeing 737-8BKP2-PXE,1/47(0)
14,29 Oct 2018,"Off Jakarta, IndonesiaLion Air",Boeing 737-MAX 8PK-LQP,189/189(0)
15,06 Nov 2018,"Georgetown, GuyanaFly Jamaica Airways",Boeing 757-N23N524AT,1/128(0)
0,14 Jan 2019,"Karaj, IranSaha Air",Boeing 707-3J9CEP-CPP,15/16(0)
1,23 Feb 2019,"Houston, TexasAtlas Air serving Amazon",Boeing 767-375ERN1217A,3/3(0)
2,09 Mar 2019,"Vereda La Bendicion, ColombiaLaser Aereo Colombia",Douglas DC-3HK-2494,14/14(0)
3,10 Mar 2019,"Bishoftu, EthiopiaEthiopian Airlines",Boeing 737 Max 8ET-AVJ,157/157(0)
4,16 Apr 2019,"Puerto Montt, ChileArchipelagos Service Aereos",Pilatus-Britten Norman BN-2B-27 IslanderCC-CYR,6/6(0)
5,05 May 2019,"Near Monclava, MexicoTVPX Aircraft Solutions",Canadair CL-600-2B16-ChallengerN601VH,13/13(0)
6,05 May 2019,"Moscow, RussiaAeroflot Russian International Airlines",Sukhoi Superjet-100-95BRA-89098,41/78(0)
7,03 Jun 2019,"Near Lipo, IndiaMilitary - Indian Air Force",Antonov An-32K2752,13/13(0)
8,30 Jul 2019,"Rawalpindi, IndiaMilitary - Pakistan Army",Beechcraft B300 King Air766,5/5(14)
9,11 Sep 2019,"Toledo, OhioPrivate",Convair CV-440FN24DR,2/2(0)
10,04 Oct 2019,"Lviv, UkraineUkraine Air Alliance",Antonov An-12BKUR-CAH,5/8(0)
11,24 Nov 2019,"Goma, Democratic Republic of CongoBusy Bee Congo",Dornier 228-2019S-GNH,19/19(7)
12,27 Dec 2019,"Almaty, KazakhstanBek Air",Fokker 100UP-F100,12/98(0)
0,02 Jan 2020,"Geneina, SudanSudanese Air Force",Antonov An12-A?,18/18(?)
1,08 Jan 2020,"Near Shahriah, IranUkraine International Airlines",Boeing 737-8KV WLUR-PSR,176/176(0)
2,05 Feb 2020,"Istanbul, TurkeyPegasus Airlines",Boeing 737-86JTC-IZK,3/177(0)
3,29 Mar 2020,"Manila, PhilippinesLion Air Inc.",IAI 1124A Westwind IIRP-C5880,8/8(0)
